task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
16	a9/33559f	215053	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTP (S7-L1)	COMPLETED	0	2025-12-07 13:43:40.311	3.4s	2.5s	116.6%	819.1 MB	1 GB	21.2 MB	9 MB
12	25/f46c73	87451	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	CACHED	0	2025-12-07 11:49:01.978	547ms	125ms	100.8%	1.8 MB	4.6 MB	147.9 KB	12.1 KB
17	4c/dc1256	215064	NFCORE_SAREK:SAREK:FASTQC (S7-L1)	COMPLETED	0	2025-12-07 13:43:40.335	10.8s	9s	193.9%	521 MB	7.3 GB	20.9 MB	4 MB
10	45/7df7dc	87620	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	CACHED	0	2025-12-07 11:49:02.696	692ms	0ms	124.3%	1.7 MB	4.3 MB	139.9 KB	9.2 KB
68	ce/3bbe1e	88068	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_16146120-32867130)	CACHED	0	2025-12-07 11:49:03.622	796ms	121ms	46.5%	1.8 MB	4.6 MB	137 KB	3.7 KB
70	2e/1e99e3	89712	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_10001-1429358)	CACHED	0	2025-12-07 11:49:04.294	464ms	63ms	73.8%	1.7 MB	4.6 MB	137 KB	3.7 KB
82	05/cc8f58	87889	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr18_47019913-54536574)	CACHED	0	2025-12-07 11:49:03.505	950ms	109ms	44.1%	1.7 MB	4.6 MB	137.6 KB	3.9 KB
75	fd/e12f3d	87959	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr8_44033745-45877265)	CACHED	0	2025-12-07 11:49:03.535	947ms	86ms	57.1%	1.7 MB	4.6 MB	136.8 KB	3.6 KB
71	5a/3c3d19	88003	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37235253-37240944)	CACHED	0	2025-12-07 11:49:03.557	914ms	79ms	58.3%	1.7 MB	4.6 MB	137 KB	3.7 KB
79	5a/01984b	87863	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr6_95070791-167591393)	CACHED	0	2025-12-07 11:49:03.482	751ms	98ms	75.0%	1.7 MB	4.6 MB	136.8 KB	3.6 KB
77	f3/31a61f	87871	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_190173122-190204555)	CACHED	0	2025-12-07 11:49:03.494	789ms	69ms	91.4%	1.7 MB	4.6 MB	137.2 KB	3.9 KB
73	ed/52e796	88084	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr7_58169654-60828234)	CACHED	0	2025-12-07 11:49:03.636	764ms	80ms	56.8%	1.7 MB	4.6 MB	137 KB	3.7 KB
