task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
16	52/a421d3	232264	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTP (R1-L1)	COMPLETED	0	2025-12-08 14:13:34.715	3.7s	2.8s	113.4%	1.2 GB	2.3 GB	21.2 MB	9 MB
17	80/f98d2b	232256	NFCORE_SAREK:SAREK:FASTQC (R1-L1)	COMPLETED	0	2025-12-08 14:13:34.692	10.1s	9s	205.3%	443.2 MB	7.3 GB	20.9 MB	4 MB
6	d7/9badd6	95067	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	CACHED	0	2025-12-08 10:57:07.958	737ms	0ms	118.5%	1.7 MB	4.3 MB	139.9 KB	9.2 KB
10	57/6ebb8c	94901	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	CACHED	0	2025-12-08 10:57:07.320	533ms	102ms	116.9%	1.7 MB	4.6 MB	147.9 KB	12.1 KB
81	16/9ca572	95480	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_122026460-124977944)	CACHED	0	2025-12-08 10:57:08.985	587ms	82ms	74.0%	1.8 MB	4.6 MB	137 KB	3.7 KB
82	26/ab04b6	95401	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr18_47019913-54536574)	CACHED	0	2025-12-08 10:57:08.955	585ms	79ms	64.6%	1.8 MB	4.6 MB	137.6 KB	3.9 KB
71	df/5b85a8	95350	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37235253-37240944)	CACHED	0	2025-12-08 10:57:08.936	589ms	90ms	66.0%	1.8 MB	4.6 MB	137 KB	3.7 KB
79	0e/7dc350	95600	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr6_95070791-167591393)	CACHED	0	2025-12-08 10:57:09.024	604ms	109ms	64.6%	1.7 MB	4.6 MB	136.8 KB	3.6 KB
78	0b/0a4167	95730	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr5_139453660-155760324)	CACHED	0	2025-12-08 10:57:09.063	642ms	111ms	57.4%	1.7 MB	4.6 MB	136.9 KB	3.7 KB
70	78/40f287	95457	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_10001-1429358)	CACHED	0	2025-12-08 10:57:08.975	651ms	98ms	52.9%	1.8 MB	4.6 MB	137 KB	3.7 KB
75	96/9e8d49	95341	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr8_44033745-45877265)	CACHED	0	2025-12-08 10:57:08.925	610ms	92ms	67.4%	1.7 MB	4.6 MB	136.8 KB	3.6 KB
77	eb/fbd642	95673	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_190173122-190204555)	CACHED	0	2025-12-08 10:57:09.044	625ms	115ms	51.6%	1.7 MB	4.6 MB	137.2 KB	3.9 KB
80	90/f209b7	95543	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr17_60001-448188)	CACHED	0	2025-12-08 10:57:09.007	676ms	75ms	75.7%	1.7 MB	4.6 MB	137.5 KB	3.8 KB
83	01/09af80	95423	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrX_37285838-49348394)	CACHED	0	2025-12-08 10:57:08.966	619ms	77ms	73.1%	1.7 MB	4.6 MB	137.1 KB	3.7 KB
72	41/d0a5f2	95373	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr15_20729747-21193490)	CACHED	0	2025-12-08 10:57:08.946	581ms	68ms	88.3%	1.8 MB	4.6 MB	137.3 KB	3.8 KB
