task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
16	e7/56243d	158639	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTP (R1-L1)	COMPLETED	0	2025-12-08 02:29:31.689	3.4s	2.5s	114.2%	855.2 MB	1 GB	21.2 MB	9 MB
7	25/f46c73	87451	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	CACHED	0	2025-12-07 11:49:01.978	547ms	125ms	100.8%	1.8 MB	4.6 MB	147.9 KB	12.1 KB
17	0e/96913c	158632	NFCORE_SAREK:SAREK:FASTQC (R1-L1)	COMPLETED	0	2025-12-08 02:29:31.674	9.6s	9s	209.1%	469.8 MB	7.4 GB	20.9 MB	4 MB
1	45/7df7dc	87620	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	CACHED	0	2025-12-07 11:49:02.696	692ms	0ms	124.3%	1.7 MB	4.3 MB	139.9 KB	9.2 KB
70	2e/1e99e3	89712	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_10001-1429358)	CACHED	0	2025-12-07 11:49:04.294	464ms	63ms	73.8%	1.7 MB	4.6 MB	137 KB	3.7 KB
68	ce/3bbe1e	88068	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_16146120-32867130)	CACHED	0	2025-12-07 11:49:03.622	796ms	121ms	46.5%	1.8 MB	4.6 MB	137 KB	3.7 KB
76	d9/1d70d8	88057	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr20_36314720-64334167)	CACHED	0	2025-12-07 11:49:03.609	848ms	76ms	66.3%	1.7 MB	4.6 MB	138.5 KB	4.3 KB
79	5a/01984b	87863	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr6_95070791-167591393)	CACHED	0	2025-12-07 11:49:03.482	751ms	98ms	75.0%	1.7 MB	4.6 MB	136.8 KB	3.6 KB
72	15/a846e0	88103	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr15_20729747-21193490)	CACHED	0	2025-12-07 11:49:03.676	810ms	118ms	43.7%	1.7 MB	4.6 MB	137.3 KB	3.8 KB
74	08/896b14	88098	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr10_39590436-39593013)	CACHED	0	2025-12-07 11:49:03.660	874ms	90ms	61.0%	1.7 MB	4.6 MB	137.1 KB	3.7 KB
82	05/cc8f58	87889	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr18_47019913-54536574)	CACHED	0	2025-12-07 11:49:03.505	950ms	109ms	44.1%	1.7 MB	4.6 MB	137.6 KB	3.9 KB
78	33/fefaff	87907	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr5_139453660-155760324)	CACHED	0	2025-12-07 11:49:03.516	983ms	83ms	47.8%	1.7 MB	4.6 MB	136.9 KB	3.7 KB
80	be/c25315	87930	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr17_60001-448188)	CACHED	0	2025-12-07 11:49:03.525	917ms	98ms	64.3%	1.8 MB	4.6 MB	137.5 KB	3.8 KB
81	6b/cf57bd	87984	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_122026460-124977944)	CACHED	0	2025-12-07 11:49:03.545	899ms	114ms	52.9%	1.8 MB	4.6 MB	137 KB	3.7 KB
75	fd/e12f3d	87959	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr8_44033745-45877265)	CACHED	0	2025-12-07 11:49:03.535	947ms	86ms	57.1%	1.7 MB	4.6 MB	136.8 KB	3.6 KB
77	f3/31a61f	87871	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_190173122-190204555)	CACHED	0	2025-12-07 11:49:03.494	789ms	69ms	91.4%	1.7 MB	4.6 MB	137.2 KB	3.9 KB
69	7e/c1db5c	88034	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_238904048-242183529)	CACHED	0	2025-12-07 11:49:03.579	806ms	68ms	62.6%	1.8 MB	4.6 MB	137 KB	3.9 KB
83	24/138a69	88045	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrX_37285838-49348394)	CACHED	0	2025-12-07 11:49:03.595	874ms	120ms	50.4%	1.7 MB	4.6 MB	137.1 KB	3.7 KB
71	5a/3c3d19	88003	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37235253-37240944)	CACHED	0	2025-12-07 11:49:03.557	914ms	79ms	58.3%	1.7 MB	4.6 MB	137 KB	3.7 KB
73	ed/52e796	88084	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr7_58169654-60828234)	CACHED	0	2025-12-07 11:49:03.636	764ms	80ms	56.8%	1.7 MB	4.6 MB	137 KB	3.7 KB
84	e6/150147	89404	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_10001-207666)	CACHED	0	2025-12-07 11:49:04.242	461ms	62ms	100.8%	1.7 MB	4.6 MB	136.9 KB	3.5 KB
85	44/af4a32	90301	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr11_51078349-54425074)	CACHED	0	2025-12-07 11:49:04.398	404ms	47ms	126.7%	1.8 MB	4.6 MB	137 KB	3.7 KB
86	aa/dbc07d	90344	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr13_86252980-111703855)	CACHED	0	2025-12-07 11:49:04.414	399ms	67ms	95.5%	1.7 MB	4.6 MB	137.2 KB	3.8 KB
88	a5/ec8ded	90396	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrY_9055175-9057608)	CACHED	0	2025-12-07 11:49:04.439	358ms	48ms	105.7%	1.8 MB	4.6 MB	138 KB	3.8 KB
87	ed/56385d	88095	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr9_41229379-41237752)	CACHED	0	2025-12-07 11:49:03.647	805ms	127ms	51.4%	1.7 MB	4.6 MB	137.9 KB	4 KB
20	c0/089071	159877	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	COMPLETED	0	2025-12-08 02:30:30.739	16.6s	15.6s	111.4%	4.9 GB	5.3 GB	5.2 GB	3.9 MB
41	24/b39450	160903	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	COMPLETED	0	2025-12-08 02:30:47.375	6.7s	6.2s	137.8%	5.3 GB	12.2 GB	5.2 GB	3.6 MB
28	1b/b42642	161533	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	COMPLETED	0	2025-12-08 02:30:54.103	6.6s	6.1s	168.3%	5.3 GB	12.2 GB	5.2 GB	3.6 MB
35	84/27da91	162153	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	COMPLETED	0	2025-12-08 02:31:00.709	6.4s	5.9s	156.2%	5.2 GB	5.4 GB	5.2 GB	3.6 MB
38	6f/528ee0	162795	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	COMPLETED	0	2025-12-08 02:31:07.097	6.7s	6.2s	171.7%	5.3 GB	12.2 GB	5.2 GB	3.6 MB
52	97/a3d6a0	163417	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	COMPLETED	0	2025-12-08 02:31:13.768	6.3s	5.8s	161.0%	5.3 GB	6 GB	5.2 GB	3.6 MB
31	db/431aa0	164138	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	COMPLETED	0	2025-12-08 02:31:20.076	5.7s	5.3s	136.7%	5.3 GB	12.2 GB	5.2 GB	3.6 MB
33	9d/f97f35	164687	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	COMPLETED	0	2025-12-08 02:31:25.835	6.1s	5.6s	138.2%	5.3 GB	5.9 GB	5.2 GB	3.6 MB
25	10/d0de9a	165236	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	COMPLETED	0	2025-12-08 02:31:31.922	5.8s	5.3s	140.2%	5.3 GB	12.2 GB	5.2 GB	3.6 MB
57	7a/e0cd8d	165785	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	COMPLETED	0	2025-12-08 02:31:37.752	6.5s	5.5s	166.3%	5.3 GB	6 GB	5.2 GB	3.6 MB
53	9a/b88cd8	166330	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	COMPLETED	0	2025-12-08 02:31:44.245	5.7s	5.3s	147.4%	5.3 GB	12.2 GB	5.2 GB	3.6 MB
58	02/fcdf62	166878	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	COMPLETED	0	2025-12-08 02:31:49.977	5.6s	5.2s	140.4%	5.3 GB	12.2 GB	5.2 GB	3.6 MB
89	6a/f45547	167433	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (R1)	COMPLETED	0	2025-12-08 02:31:57.903	43.2s	42s	151.4%	7.8 GB	29.5 GB	6.1 GB	9.9 MB
90	f8/cb7791	168853	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (R1)	COMPLETED	0	2025-12-08 02:32:47.253	19.1s	18s	101.9%	356.2 MB	430.5 MB	5.9 GB	293.6 KB
91	14/4c8c87	168852	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (R1)	COMPLETED	0	2025-12-08 02:32:47.240	59.9s	59s	100.3%	2 GB	2.1 GB	4.1 GB	31.9 MB
102	0c/004e91	170815	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (R1)	COMPLETED	0	2025-12-08 02:33:49.411	17.9s	16.8s	147.9%	845.5 MB	7.6 GB	448.4 MB	708.5 KB
106	b3/b6164a	170991	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (R1)	COMPLETED	0	2025-12-08 02:33:49.972	17.6s	17.1s	151.5%	973.5 MB	7.6 GB	350.3 MB	738.1 KB
94	ea/1bdb2a	170916	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (R1)	COMPLETED	0	2025-12-08 02:33:49.937	17.8s	17.3s	150.1%	858.4 MB	7.5 GB	307.8 MB	814 KB
