task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
17	ff/55b649	86418	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTP (R1-L1)	COMPLETED	0	2025-12-07 11:48:50.982	2.9s	2.4s	136.2%	1 GB	1 GB	21.2 MB	9 MB
16	7e/c0a2e8	86601	NFCORE_SAREK:SAREK:FASTQC (R1-L1)	COMPLETED	0	2025-12-07 11:48:52.616	7.9s	7s	245.8%	516.2 MB	7.4 GB	21 MB	4 MB
8	25/f46c73	87451	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	COMPLETED	0	2025-12-07 11:49:01.978	547ms	125ms	100.8%	1.8 MB	4.6 MB	147.9 KB	12.1 KB
9	45/7df7dc	87620	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	COMPLETED	0	2025-12-07 11:49:02.696	692ms	0ms	124.3%	1.7 MB	4.3 MB	139.9 KB	9.2 KB
79	5a/01984b	87863	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr6_95070791-167591393)	COMPLETED	0	2025-12-07 11:49:03.482	751ms	98ms	75.0%	1.7 MB	4.6 MB	136.8 KB	3.6 KB
77	f3/31a61f	87871	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_190173122-190204555)	COMPLETED	0	2025-12-07 11:49:03.494	789ms	69ms	91.4%	1.7 MB	4.6 MB	137.2 KB	3.9 KB
69	7e/c1db5c	88034	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_238904048-242183529)	COMPLETED	0	2025-12-07 11:49:03.579	806ms	68ms	62.6%	1.8 MB	4.6 MB	137 KB	3.9 KB
73	ed/52e796	88084	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr7_58169654-60828234)	COMPLETED	0	2025-12-07 11:49:03.636	764ms	80ms	56.8%	1.7 MB	4.6 MB	137 KB	3.7 KB
68	ce/3bbe1e	88068	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_16146120-32867130)	COMPLETED	0	2025-12-07 11:49:03.622	796ms	121ms	46.5%	1.8 MB	4.6 MB	137 KB	3.7 KB
80	be/c25315	87930	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr17_60001-448188)	COMPLETED	0	2025-12-07 11:49:03.525	917ms	98ms	64.3%	1.8 MB	4.6 MB	137.5 KB	3.8 KB
