task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
16	dd/2da763	93913	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTP (R1-L1)	CACHED	0	2025-12-08 10:56:57.118	2.9s	2.5s	121.0%	1.2 GB	2.2 GB	21.2 MB	9 MB
17	52/fca421	94085	NFCORE_SAREK:SAREK:FASTQC (R1-L1)	CACHED	0	2025-12-08 10:56:58.108	6.7s	6s	266.6%	518.9 MB	7.4 GB	20.8 MB	4 MB
5	d7/9badd6	95067	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	CACHED	0	2025-12-08 10:57:07.958	737ms	0ms	118.5%	1.7 MB	4.3 MB	139.9 KB	9.2 KB
80	90/f209b7	95543	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr17_60001-448188)	CACHED	0	2025-12-08 10:57:09.007	676ms	75ms	75.7%	1.7 MB	4.6 MB	137.5 KB	3.8 KB
73	57/3c6cc2	95649	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr7_58169654-60828234)	CACHED	0	2025-12-08 10:57:09.036	664ms	87ms	63.7%	1.8 MB	4.6 MB	137 KB	3.7 KB
68	c7/cca563	95700	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_16146120-32867130)	CACHED	0	2025-12-08 10:57:09.053	643ms	96ms	63.1%	1.7 MB	4.6 MB	137 KB	3.7 KB
72	41/d0a5f2	95373	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr15_20729747-21193490)	CACHED	0	2025-12-08 10:57:08.946	581ms	68ms	88.3%	1.8 MB	4.6 MB	137.3 KB	3.8 KB
84	10/8c9228	97249	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_10001-207666)	CACHED	0	2025-12-08 10:57:09.488	441ms	66ms	83.6%	1.7 MB	4.6 MB	136.9 KB	3.5 KB
82	26/ab04b6	95401	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr18_47019913-54536574)	CACHED	0	2025-12-08 10:57:08.955	585ms	79ms	64.6%	1.8 MB	4.6 MB	137.6 KB	3.9 KB
71	df/5b85a8	95350	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37235253-37240944)	CACHED	0	2025-12-08 10:57:08.936	589ms	90ms	66.0%	1.8 MB	4.6 MB	137 KB	3.7 KB
74	af/3a4691	95312	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr10_39590436-39593013)	CACHED	0	2025-12-08 10:57:08.907	573ms	98ms	71.6%	1.7 MB	4.6 MB	137.1 KB	3.7 KB
77	eb/fbd642	95673	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_190173122-190204555)	CACHED	0	2025-12-08 10:57:09.044	625ms	115ms	51.6%	1.7 MB	4.6 MB	137.2 KB	3.9 KB
81	16/9ca572	95480	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_122026460-124977944)	CACHED	0	2025-12-08 10:57:08.985	587ms	82ms	74.0%	1.8 MB	4.6 MB	137 KB	3.7 KB
70	78/40f287	95457	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_10001-1429358)	CACHED	0	2025-12-08 10:57:08.975	651ms	98ms	52.9%	1.8 MB	4.6 MB	137 KB	3.7 KB
78	0b/0a4167	95730	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr5_139453660-155760324)	CACHED	0	2025-12-08 10:57:09.063	642ms	111ms	57.4%	1.7 MB	4.6 MB	136.9 KB	3.7 KB
83	01/09af80	95423	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrX_37285838-49348394)	CACHED	0	2025-12-08 10:57:08.966	619ms	77ms	73.1%	1.7 MB	4.6 MB	137.1 KB	3.7 KB
76	68/df2795	95539	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr20_36314720-64334167)	CACHED	0	2025-12-08 10:57:08.996	685ms	105ms	59.3%	1.7 MB	4.6 MB	138.5 KB	4.3 KB
79	0e/7dc350	95600	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr6_95070791-167591393)	CACHED	0	2025-12-08 10:57:09.024	604ms	109ms	64.6%	1.7 MB	4.6 MB	136.8 KB	3.6 KB
75	96/9e8d49	95341	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr8_44033745-45877265)	CACHED	0	2025-12-08 10:57:08.925	610ms	92ms	67.4%	1.7 MB	4.6 MB	136.8 KB	3.6 KB
69	88/b5ee01	95305	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_238904048-242183529)	CACHED	0	2025-12-08 10:57:08.819	674ms	70ms	68.6%	1.7 MB	4.6 MB	137 KB	3.9 KB
88	59/e85b32	97523	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrY_9055175-9057608)	CACHED	0	2025-12-08 10:57:09.544	412ms	50ms	104.7%	1.7 MB	4.6 MB	138 KB	3.8 KB
86	37/63ff44	97311	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr13_86252980-111703855)	CACHED	0	2025-12-08 10:57:09.501	469ms	68ms	102.9%	1.7 MB	4.6 MB	137.2 KB	3.8 KB
85	5e/d0707e	97462	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr11_51078349-54425074)	CACHED	0	2025-12-08 10:57:09.533	418ms	49ms	112.3%	1.8 MB	4.6 MB	137 KB	3.7 KB
87	bb/ac234c	97605	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr9_41229379-41237752)	CACHED	0	2025-12-08 10:57:09.559	439ms	49ms	108.7%	1.8 MB	4.6 MB	137.9 KB	4 KB
4	57/6ebb8c	94901	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	CACHED	0	2025-12-08 10:57:07.320	533ms	102ms	116.9%	1.7 MB	4.6 MB	147.9 KB	12.1 KB
29	71/412d9b	110341	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	CACHED	0	2025-12-08 11:09:10.826	10.2s	9.1s	121.1%	5.3 GB	5.9 GB	5.2 GB	3.6 MB
34	b9/97792b	108260	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	CACHED	0	2025-12-08 11:08:33.163	9s	8.4s	109.6%	5.2 GB	6.7 GB	5.2 GB	3.6 MB
33	eb/c839b7	114154	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	CACHED	0	2025-12-08 11:09:52.878	5.7s	5.3s	142.7%	5.3 GB	12.3 GB	5.2 GB	3.6 MB
26	68/05215a	101510	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	CACHED	0	2025-12-08 11:08:06.581	17.3s	14.4s	102.0%	5 GB	5.3 GB	5.2 GB	3.6 MB
19	bb/5d0592	112339	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	CACHED	0	2025-12-08 11:09:34.594	6.5s	5.8s	146.5%	5.3 GB	5.9 GB	5.2 GB	3.9 MB
21	08/9546f0	113060	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	CACHED	0	2025-12-08 11:09:41.065	6s	5.4s	144.5%	5.3 GB	5.9 GB	5.2 GB	3.6 MB
24	f4/da7426	100560	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	CACHED	0	2025-12-08 11:07:54.597	11.9s	11.3s	129.6%	5.3 GB	12.2 GB	5.2 GB	3.6 MB
31	22/8fce6f	111118	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	CACHED	0	2025-12-08 11:09:21.077	7s	6.5s	140.5%	5.3 GB	12.2 GB	5.2 GB	3.6 MB
46	65/14b65d	113608	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	CACHED	0	2025-12-08 11:09:47.044	5.8s	5.4s	146.0%	5.3 GB	12.2 GB	5.2 GB	3.6 MB
36	96/180ffc	109074	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (R1)	CACHED	0	2025-12-08 11:08:42.219	28.5s	28s	54.6%	5.3 GB	12.2 GB	5.2 GB	3.6 MB
